Food Name,"Bubble tea no milk"
Description,"Freshly made fruit or tea-based beverage without milk, with customisable topping"
Food Group,"Beverages"
Food Subgroup,"Speciality tea"
Edible Portion,"100%"
Default Serving Size,"1 medium cup (500ml) = 500ml"
Alternative Serving Size(s),"1 large cup (700ml) = 700ml"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100ml,Per Serving (500ml)
Energy (kcal),29,145
Protein (g),0,0
Total Fat (g),0,0
Saturated Fat (g),0,0
Trans Fat (g),0,0
Carbohydrate (g),7.35,36.75
Sugar (g),4.45,22.25
Added Sugar (g),-,-
Dietary Fibre (g),0.03,0.15
Sodium (mg),Trace,Trace
Potassium (mg),-,-
Calcium (mg),1,5
Iron (mg),0.05,0.25

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
